ID,Vehicles,Lower_Bound,Upper_Bound,Junction
20170702032.0,,,,2
20170702033.0,,,,3
20170702034.0,,,,4
20170702041.0,59.0,40.0,77.0,1
20170702042.0,,,,2
20170702043.0,,,,3
20170702044.0,,,,4
20170702051.0,59.0,39.0,79.0,1
20170702052.0,,,,2
20170702053.0,,,,3
20170702054.0,,,,4
20170702061.0,59.0,40.0,78.0,1
20170702062.0,,,,2
20170702063.0,,,,3
20170702064.0,,,,4
20170702071.0,59.0,40.0,78.0,1
20170702072.0,,,,2
20170702073.0,,,,3
20170702074.0,,,,4
20170702081.0,60.0,41.0,78.0,1
20170702082.0,,,,2
20170702083.0,,,,3
20170702084.0,,,,4
20170702091.0,60.0,40.0,79.0,1
20170702092.0,,,,2
20170702093.0,,,,3
20170702094.0,,,,4
20170702101.0,60.0,42.0,79.0,1
20170702102.0,,,,2
20170702103.0,,,,3
20170702104.0,,,,4
20170702111.0,61.0,44.0,79.0,1
20170702112.0,,,,2
20170702113.0,,,,3
20170702114.0,,,,4
20170702121.0,61.0,44.0,81.0,1
20170702122.0,,,,2
20170702123.0,,,,3
20170702124.0,,,,4
20170702131.0,61.0,42.0,79.0,1
20170702132.0,,,,2
20170702133.0,,,,3
20170702134.0,,,,4
20170702141.0,62.0,43.0,78.0,1
20170702142.0,,,,2
20170702143.0,,,,3
20170702144.0,,,,4
20170702151.0,63.0,44.0,80.0,1
20170702152.0,,,,2
20170702153.0,,,,3
20170702154.0,,,,4
20170702161.0,63.0,44.0,81.0,1
20170702162.0,,,,2
20170702163.0,,,,3
20170702164.0,,,,4
20170702171.0,64.0,46.0,82.0,1
20170702172.0,,,,2
20170702173.0,,,,3
20170702174.0,,,,4
20170702181.0,65.0,46.0,84.0,1
20170702182.0,,,,2
20170702183.0,,,,3
20170702184.0,,,,4
20170702191.0,65.0,47.0,83.0,1
20170702192.0,,,,2
20170702193.0,,,,3
20170702194.0,,,,4
20170702201.0,66.0,48.0,84.0,1
20170702202.0,,,,2
20170702203.0,,,,3
20170702204.0,,,,4
20170702211.0,67.0,49.0,85.0,1
20170702212.0,,,,2
20170702213.0,,,,3
20170702214.0,,,,4
20170702221.0,68.0,49.0,87.0,1
20170702222.0,,,,2
20170702223.0,,,,3
20170702224.0,,,,4
20170702231.0,69.0,51.0,86.0,1
20170702232.0,,,,2
20170702233.0,,,,3
20170702234.0,,,,4
20170703001.0,70.0,51.0,87.0,1
20170703002.0,,,,2
20170703003.0,,,,3
20170703004.0,,,,4
20170703011.0,70.0,51.0,88.0,1
20170703012.0,,,,2
20170703013.0,,,,3
20170703014.0,,,,4
20170703021.0,71.0,53.0,89.0,1
20170703022.0,,,,2
20170703023.0,,,,3
20170703024.0,,,,4
20170703031.0,72.0,54.0,90.0,1
20170703032.0,,,,2
20170703033.0,,,,3
20170703034.0,,,,4
20170703041.0,73.0,56.0,92.0,1
20170703042.0,,,,2
20170703043.0,,,,3
20170703044.0,,,,4
20170703051.0,74.0,56.0,92.0,1
20170703052.0,,,,2
20170703053.0,,,,3
20170703054.0,,,,4
20170703061.0,74.0,55.0,92.0,1
20170703062.0,,,,2
20170703063.0,,,,3
20170703064.0,,,,4
20170703071.0,75.0,57.0,92.0,1
20170703072.0,,,,2
20170703073.0,,,,3
20170703074.0,,,,4
20170703081.0,76.0,59.0,94.0,1
20170703082.0,,,,2
20170703083.0,,,,3
20170703084.0,,,,4
20170703091.0,77.0,59.0,95.0,1
20170703092.0,,,,2
20170703093.0,,,,3
20170703094.0,,,,4
20170703101.0,77.0,59.0,96.0,1
20170703102.0,,,,2
20170703103.0,,,,3
20170703104.0,,,,4
20170703111.0,78.0,61.0,96.0,1
20170703112.0,,,,2
20170703113.0,,,,3
20170703114.0,,,,4
20170703121.0,79.0,59.0,97.0,1
20170703122.0,,,,2
20170703123.0,,,,3
20170703124.0,,,,4
20170703131.0,79.0,62.0,98.0,1
20170703132.0,,,,2
20170703133.0,,,,3
20170703134.0,,,,4
20170703141.0,80.0,61.0,98.0,1
20170703142.0,,,,2
20170703143.0,,,,3
20170703144.0,,,,4
20170703151.0,80.0,63.0,99.0,1
20170703152.0,,,,2
20170703153.0,,,,3
20170703154.0,,,,4
20170703161.0,81.0,62.0,99.0,1
20170703162.0,,,,2
20170703163.0,,,,3
20170703164.0,,,,4
20170703171.0,81.0,63.0,101.0,1
20170703172.0,,,,2
20170703173.0,,,,3
20170703174.0,,,,4
20170703181.0,82.0,64.0,99.0,1
20170703182.0,,,,2
20170703183.0,,,,3
20170703184.0,,,,4
20170703191.0,82.0,64.0,100.0,1
20170703192.0,,,,2
20170703193.0,,,,3
20170703194.0,,,,4
20170703201.0,82.0,65.0,101.0,1
20170703202.0,,,,2
20170703203.0,,,,3
20170703204.0,,,,4
20170703211.0,82.0,64.0,101.0,1
20170703212.0,,,,2
20170703213.0,,,,3
20170703214.0,,,,4
20170703221.0,83.0,65.0,100.0,1
20170703222.0,,,,2
20170703223.0,,,,3
20170703224.0,,,,4
20170703231.0,83.0,64.0,100.0,1
20170703232.0,,,,2
20170703233.0,,,,3
20170703234.0,,,,4
20170704001.0,83.0,64.0,100.0,1
20170704002.0,,,,2
20170704003.0,,,,3
20170704004.0,,,,4
20170704011.0,83.0,64.0,100.0,1
20170704012.0,,,,2
20170704013.0,,,,3
20170704014.0,,,,4
20170704021.0,83.0,65.0,101.0,1
20170704022.0,,,,2
20170704023.0,,,,3
20170704024.0,,,,4
20170704031.0,83.0,65.0,101.0,1
20170704032.0,,,,2
20170704033.0,,,,3
20170704034.0,,,,4
20170704041.0,83.0,63.0,99.0,1
20170704042.0,,,,2
20170704043.0,,,,3
20170704044.0,,,,4
20170704051.0,83.0,64.0,102.0,1
20170704052.0,,,,2
20170704053.0,,,,3
20170704054.0,,,,4
20170704061.0,83.0,64.0,100.0,1
20170704062.0,,,,2
20170704063.0,,,,3
20170704064.0,,,,4
20170704071.0,83.0,65.0,101.0,1
20170704072.0,,,,2
20170704073.0,,,,3
20170704074.0,,,,4
20170704081.0,83.0,64.0,103.0,1
20170704082.0,,,,2
20170704083.0,,,,3
20170704084.0,,,,4
20170704091.0,83.0,63.0,102.0,1
20170704092.0,,,,2
20170704093.0,,,,3
20170704094.0,,,,4
20170704101.0,82.0,65.0,101.0,1
20170704102.0,,,,2
20170704103.0,,,,3
20170704104.0,,,,4
20170704111.0,82.0,65.0,100.0,1
20170704112.0,,,,2
20170704113.0,,,,3
20170704114.0,,,,4
20170704121.0,82.0,61.0,100.0,1
20170704122.0,,,,2
20170704123.0,,,,3
20170704124.0,,,,4
20170704131.0,82.0,64.0,98.0,1
20170704132.0,,,,2
20170704133.0,,,,3
20170704134.0,,,,4
20170704141.0,82.0,65.0,100.0,1
20170704142.0,,,,2
20170704143.0,,,,3
20170704144.0,,,,4
20170704151.0,82.0,63.0,99.0,1
20170704152.0,,,,2
20170704153.0,,,,3
20170704154.0,,,,4
20170704161.0,82.0,64.0,100.0,1
20170704162.0,,,,2
20170704163.0,,,,3
20170704164.0,,,,4
20170704171.0,81.0,63.0,100.0,1
20170704172.0,,,,2
20170704173.0,,,,3
20170704174.0,,,,4
20170704181.0,81.0,64.0,100.0,1
20170704182.0,,,,2
20170704183.0,,,,3
20170704184.0,,,,4
20170704191.0,81.0,61.0,100.0,1
20170704192.0,,,,2
20170704193.0,,,,3
20170704194.0,,,,4
20170704201.0,81.0,64.0,99.0,1
20170704202.0,,,,2
20170704203.0,,,,3
20170704204.0,,,,4
20170704211.0,81.0,62.0,98.0,1
20170704212.0,,,,2
20170704213.0,,,,3
20170704214.0,,,,4
20170704221.0,81.0,62.0,99.0,1
20170704222.0,,,,2
20170704223.0,,,,3
20170704224.0,,,,4
20170704231.0,81.0,63.0,98.0,1
20170704232.0,,,,2
20170704233.0,,,,3
20170704234.0,,,,4
20170705001.0,81.0,62.0,99.0,1
20170705002.0,,,,2
20170705003.0,,,,3
20170705004.0,,,,4
20170705011.0,81.0,63.0,99.0,1
20170705012.0,,,,2
20170705013.0,,,,3
20170705014.0,,,,4
20170705021.0,80.0,61.0,100.0,1
20170705022.0,,,,2
20170705023.0,,,,3
20170705024.0,,,,4
20170705031.0,80.0,61.0,99.0,1
20170705032.0,,,,2
20170705033.0,,,,3
20170705034.0,,,,4
20170705041.0,80.0,62.0,99.0,1
20170705042.0,,,,2
20170705043.0,,,,3
20170705044.0,,,,4
20170705051.0,80.0,62.0,99.0,1
20170705052.0,,,,2
20170705053.0,,,,3
20170705054.0,,,,4
20170705061.0,80.0,62.0,99.0,1
20170705062.0,,,,2
20170705063.0,,,,3
20170705064.0,,,,4
20170705071.0,80.0,62.0,99.0,1
20170705072.0,,,,2
20170705073.0,,,,3
20170705074.0,,,,4
20170705081.0,80.0,63.0,100.0,1
20170705082.0,,,,2
20170705083.0,,,,3
20170705084.0,,,,4
20170705091.0,81.0,62.0,98.0,1
20170705092.0,,,,2
20170705093.0,,,,3
20170705094.0,,,,4
20170705101.0,81.0,61.0,99.0,1
20170705102.0,,,,2
20170705103.0,,,,3
20170705104.0,,,,4
20170705111.0,81.0,62.0,98.0,1
20170705112.0,,,,2
20170705113.0,,,,3
20170705114.0,,,,4
20170705121.0,81.0,61.0,99.0,1
20170705122.0,,,,2
20170705123.0,,,,3
20170705124.0,,,,4
20170705131.0,81.0,63.0,98.0,1
20170705132.0,,,,2
20170705133.0,,,,3
20170705134.0,,,,4
20170705141.0,81.0,63.0,99.0,1
20170705142.0,,,,2
20170705143.0,,,,3
20170705144.0,,,,4
20170705151.0,81.0,62.0,100.0,1
20170705152.0,,,,2
20170705153.0,,,,3
20170705154.0,,,,4
20170705161.0,81.0,62.0,100.0,1
20170705162.0,,,,2
20170705163.0,,,,3
20170705164.0,,,,4
20170705171.0,81.0,63.0,99.0,1
20170705172.0,,,,2
20170705173.0,,,,3
20170705174.0,,,,4
20170705181.0,81.0,61.0,98.0,1
20170705182.0,,,,2
20170705183.0,,,,3
20170705184.0,,,,4
20170705191.0,81.0,63.0,99.0,1
20170705192.0,,,,2
20170705193.0,,,,3
20170705194.0,,,,4
20170705201.0,81.0,63.0,100.0,1
20170705202.0,,,,2
20170705203.0,,,,3
20170705204.0,,,,4
20170705211.0,81.0,63.0,99.0,1
20170705212.0,,,,2
20170705213.0,,,,3
20170705214.0,,,,4
20170705221.0,81.0,63.0,101.0,1
20170705222.0,,,,2
20170705223.0,,,,3
20170705224.0,,,,4
20170705231.0,81.0,64.0,98.0,1
20170705232.0,,,,2
20170705233.0,,,,3
20170705234.0,,,,4
20170706001.0,81.0,62.0,99.0,1
20170706002.0,,,,2
20170706003.0,,,,3
20170706004.0,,,,4
20170706011.0,81.0,63.0,100.0,1
20170706012.0,,,,2
20170706013.0,,,,3
20170706014.0,,,,4
20170706021.0,81.0,63.0,100.0,1
20170706022.0,,,,2
20170706023.0,,,,3
20170706024.0,,,,4
20170706031.0,81.0,62.0,100.0,1
20170706032.0,,,,2
20170706033.0,,,,3
20170706034.0,,,,4
20170706041.0,81.0,63.0,100.0,1
20170706042.0,,,,2
20170706043.0,,,,3
20170706044.0,,,,4
20170706051.0,81.0,64.0,100.0,1
20170706052.0,,,,2
20170706053.0,,,,3
20170706054.0,,,,4
20170706061.0,81.0,63.0,99.0,1
20170706062.0,,,,2
20170706063.0,,,,3
20170706064.0,,,,4
20170706071.0,81.0,65.0,100.0,1
20170706072.0,,,,2
20170706073.0,,,,3
20170706074.0,,,,4
20170706081.0,81.0,63.0,99.0,1
20170706082.0,,,,2
20170706083.0,,,,3
20170706084.0,,,,4
20170706091.0,81.0,62.0,98.0,1
20170706092.0,,,,2
20170706093.0,,,,3
20170706094.0,,,,4
20170706101.0,81.0,65.0,100.0,1
20170706102.0,,,,2
20170706103.0,,,,3
20170706104.0,,,,4
20170706111.0,81.0,63.0,99.0,1
20170706112.0,,,,2
20170706113.0,,,,3
20170706114.0,,,,4
20170706121.0,81.0,63.0,101.0,1
20170706122.0,,,,2
20170706123.0,,,,3
20170706124.0,,,,4
20170706131.0,81.0,63.0,101.0,1
20170706132.0,,,,2
20170706133.0,,,,3
20170706134.0,,,,4
20170706141.0,81.0,62.0,99.0,1
20170706142.0,,,,2
20170706143.0,,,,3
20170706144.0,,,,4
20170706151.0,81.0,63.0,100.0,1
20170706152.0,,,,2
20170706153.0,,,,3
20170706154.0,,,,4
20170706161.0,81.0,63.0,100.0,1
20170706162.0,,,,2
20170706163.0,,,,3
20170706164.0,,,,4
20170706171.0,81.0,63.0,99.0,1
20170706172.0,,,,2
20170706173.0,,,,3
20170706174.0,,,,4
20170706181.0,81.0,64.0,99.0,1
20170706182.0,,,,2
20170706183.0,,,,3
20170706184.0,,,,4
20170706191.0,81.0,63.0,99.0,1
20170706192.0,,,,2
20170706193.0,,,,3
20170706194.0,,,,4
20170706201.0,81.0,63.0,98.0,1
20170706202.0,,,,2
20170706203.0,,,,3
20170706204.0,,,,4
20170706211.0,81.0,62.0,98.0,1
20170706212.0,,,,2
20170706213.0,,,,3
20170706214.0,,,,4
20170706221.0,81.0,63.0,98.0,1
20170706222.0,,,,2
20170706223.0,,,,3
20170706224.0,,,,4
20170706231.0,80.0,63.0,98.0,1
20170706232.0,,,,2
20170706233.0,,,,3
20170706234.0,,,,4
20170707001.0,80.0,62.0,99.0,1
20170707002.0,,,,2
20170707003.0,,,,3
20170707004.0,,,,4
20170707011.0,80.0,62.0,99.0,1
20170707012.0,,,,2
20170707013.0,,,,3
20170707014.0,,,,4
20170707021.0,80.0,63.0,98.0,1
20170707022.0,,,,2
20170707023.0,,,,3
20170707024.0,,,,4
20170707031.0,80.0,62.0,98.0,1
20170707032.0,,,,2
20170707033.0,,,,3
20170707034.0,,,,4
20170707041.0,80.0,62.0,98.0,1
20170707042.0,,,,2
20170707043.0,,,,3
20170707044.0,,,,4
20170707051.0,80.0,62.0,98.0,1
20170707052.0,,,,2
20170707053.0,,,,3
20170707054.0,,,,4
20170707061.0,79.0,61.0,98.0,1
20170707062.0,,,,2
20170707063.0,,,,3
20170707064.0,,,,4
20170707071.0,79.0,61.0,97.0,1
20170707072.0,,,,2
20170707073.0,,,,3
20170707074.0,,,,4
20170707081.0,79.0,61.0,97.0,1
20170707082.0,,,,2
20170707083.0,,,,3
20170707084.0,,,,4
20170707091.0,79.0,63.0,97.0,1
20170707092.0,,,,2
20170707093.0,,,,3
20170707094.0,,,,4
20170707101.0,79.0,61.0,97.0,1
20170707102.0,,,,2
20170707103.0,,,,3
20170707104.0,,,,4
20170707111.0,78.0,61.0,97.0,1
20170707112.0,,,,2
20170707113.0,,,,3
20170707114.0,,,,4
20170707121.0,78.0,61.0,97.0,1
20170707122.0,,,,2
20170707123.0,,,,3
20170707124.0,,,,4
20170707131.0,78.0,59.0,96.0,1
20170707132.0,,,,2
20170707133.0,,,,3
20170707134.0,,,,4
20170707141.0,78.0,60.0,96.0,1
20170707142.0,,,,2
20170707143.0,,,,3
20170707144.0,,,,4
20170707151.0,77.0,58.0,95.0,1
20170707152.0,,,,2
20170707153.0,,,,3
20170707154.0,,,,4
20170707161.0,77.0,58.0,96.0,1
20170707162.0,,,,2
20170707163.0,,,,3
20170707164.0,,,,4
20170707171.0,77.0,59.0,95.0,1
20170707172.0,,,,2
20170707173.0,,,,3
20170707174.0,,,,4
20170707181.0,76.0,59.0,95.0,1
20170707182.0,,,,2
20170707183.0,,,,3
20170707184.0,,,,4
20170707191.0,76.0,59.0,95.0,1
20170707192.0,,,,2
20170707193.0,,,,3
20170707194.0,,,,4
20170707201.0,75.0,57.0,94.0,1
20170707202.0,,,,2
20170707203.0,,,,3
20170707204.0,,,,4
20170707211.0,75.0,57.0,94.0,1
20170707212.0,,,,2
20170707213.0,,,,3
20170707214.0,,,,4
20170707221.0,74.0,55.0,93.0,1
20170707222.0,,,,2
20170707223.0,,,,3
20170707224.0,,,,4
20170707231.0,74.0,55.0,91.0,1
20170707232.0,,,,2
20170707233.0,,,,3
20170707234.0,,,,4
20170708001.0,73.0,54.0,91.0,1
20170708002.0,,,,2
20170708003.0,,,,3
20170708004.0,,,,4
20170708011.0,73.0,53.0,91.0,1
20170708012.0,,,,2
20170708013.0,,,,3
20170708014.0,,,,4
20170708021.0,72.0,53.0,91.0,1
20170708022.0,,,,2
20170708023.0,,,,3
20170708024.0,,,,4
20170708031.0,72.0,54.0,90.0,1
20170708032.0,,,,2
20170708033.0,,,,3
20170708034.0,,,,4
20170708041.0,71.0,53.0,89.0,1
20170708042.0,,,,2
20170708043.0,,,,3
20170708044.0,,,,4
20170708051.0,70.0,53.0,89.0,1
20170708052.0,,,,2
20170708053.0,,,,3
20170708054.0,,,,4
20170708061.0,70.0,52.0,88.0,1
20170708062.0,,,,2
20170708063.0,,,,3
20170708064.0,,,,4
20170708071.0,69.0,49.0,89.0,1
20170708072.0,,,,2
20170708073.0,,,,3
20170708074.0,,,,4
20170708081.0,68.0,50.0,86.0,1
20170708082.0,,,,2
20170708083.0,,,,3
20170708084.0,,,,4
20170708091.0,68.0,47.0,85.0,1
20170708092.0,,,,2
20170708093.0,,,,3
20170708094.0,,,,4
20170708101.0,67.0,50.0,86.0,1
20170708102.0,,,,2
20170708103.0,,,,3
20170708104.0,,,,4
20170708111.0,66.0,49.0,84.0,1
20170708112.0,,,,2
20170708113.0,,,,3
20170708114.0,,,,4
20170708121.0,66.0,48.0,84.0,1
20170708122.0,,,,2
20170708123.0,,,,3
20170708124.0,,,,4
20170708131.0,65.0,48.0,83.0,1
20170708132.0,,,,2
20170708133.0,,,,3
20170708134.0,,,,4
20170708141.0,65.0,45.0,83.0,1
20170708142.0,,,,2
20170708143.0,,,,3
20170708144.0,,,,4
20170708151.0,64.0,45.0,83.0,1
20170708152.0,,,,2
20170708153.0,,,,3
20170708154.0,,,,4
20170708161.0,64.0,45.0,81.0,1
20170708162.0,,,,2
20170708163.0,,,,3
20170708164.0,,,,4
20170708171.0,63.0,45.0,81.0,1
20170708172.0,,,,2
20170708173.0,,,,3
20170708174.0,,,,4
20170708181.0,63.0,45.0,80.0,1
20170708182.0,,,,2
20170708183.0,,,,3
20170708184.0,,,,4
20170708191.0,62.0,42.0,81.0,1
20170708192.0,,,,2
20170708193.0,,,,3
20170708194.0,,,,4
20170708201.0,62.0,43.0,80.0,1
20170708202.0,,,,2
20170708203.0,,,,3
20170708204.0,,,,4
20170708211.0,61.0,41.0,78.0,1
20170708212.0,,,,2
20170708213.0,,,,3
20170708214.0,,,,4
20170708221.0,61.0,42.0,81.0,1
20170708222.0,,,,2
20170708223.0,,,,3
20170708224.0,,,,4
20170708231.0,61.0,42.0,79.0,1
20170708232.0,,,,2
20170708233.0,,,,3
20170708234.0,,,,4
20170709001.0,61.0,43.0,79.0,1
20170709002.0,,,,2
20170709003.0,,,,3
20170709004.0,,,,4
20170709011.0,60.0,41.0,80.0,1
20170709012.0,,,,2
20170709013.0,,,,3
20170709014.0,,,,4
20170709021.0,60.0,43.0,78.0,1
20170709022.0,,,,2
20170709023.0,,,,3
20170709024.0,,,,4
20170709031.0,60.0,42.0,78.0,1
20170709032.0,,,,2
20170709033.0,,,,3
20170709034.0,,,,4
20170709041.0,60.0,42.0,79.0,1
20170709042.0,,,,2
20170709043.0,,,,3
20170709044.0,,,,4
20170709051.0,60.0,42.0,78.0,1
20170709052.0,,,,2
20170709053.0,,,,3
20170709054.0,,,,4
20170709061.0,60.0,43.0,79.0,1
20170709062.0,,,,2
20170709063.0,,,,3
20170709064.0,,,,4
20170709071.0,61.0,43.0,79.0,1
20170709072.0,,,,2
20170709073.0,,,,3
20170709074.0,,,,4
20170709081.0,61.0,43.0,79.0,1
20170709082.0,,,,2
20170709083.0,,,,3
20170709084.0,,,,4
20170709091.0,61.0,41.0,78.0,1
20170709092.0,,,,2
20170709093.0,,,,3
20170709094.0,,,,4
20170709101.0,62.0,42.0,80.0,1
20170709102.0,,,,2
20170709103.0,,,,3
20170709104.0,,,,4
20170709111.0,62.0,44.0,81.0,1
20170709112.0,,,,2
20170709113.0,,,,3
20170709114.0,,,,4
20170709121.0,62.0,44.0,81.0,1
20170709122.0,,,,2
20170709123.0,,,,3
20170709124.0,,,,4
20170709131.0,63.0,46.0,83.0,1
20170709132.0,,,,2
20170709133.0,,,,3
20170709134.0,,,,4
20170709141.0,64.0,45.0,83.0,1
20170709142.0,,,,2
20170709143.0,,,,3
20170709144.0,,,,4
20170709151.0,64.0,45.0,82.0,1
20170709152.0,,,,2
20170709153.0,,,,3
20170709154.0,,,,4
20170709161.0,65.0,46.0,84.0,1
20170709162.0,,,,2
20170709163.0,,,,3
20170709164.0,,,,4
20170709171.0,66.0,46.0,85.0,1
20170709172.0,,,,2
20170709173.0,,,,3
20170709174.0,,,,4
20170709181.0,66.0,48.0,85.0,1
20170709182.0,,,,2
20170709183.0,,,,3
20170709184.0,,,,4
20170709191.0,67.0,47.0,84.0,1
20170709192.0,,,,2
20170709193.0,,,,3
20170709194.0,,,,4
20170709201.0,68.0,49.0,86.0,1
20170709202.0,,,,2
20170709203.0,,,,3
20170709204.0,,,,4
20170709211.0,69.0,51.0,87.0,1
20170709212.0,,,,2
20170709213.0,,,,3
20170709214.0,,,,4
20170709221.0,69.0,51.0,88.0,1
20170709222.0,,,,2
20170709223.0,,,,3
20170709224.0,,,,4
20170709231.0,70.0,51.0,88.0,1
20170709232.0,,,,2
20170709233.0,,,,3
20170709234.0,,,,4
20170710001.0,71.0,53.0,89.0,1
20170710002.0,,,,2
20170710003.0,,,,3
20170710004.0,,,,4
20170710011.0,72.0,55.0,92.0,1
20170710012.0,,,,2
20170710013.0,,,,3
20170710014.0,,,,4
20170710021.0,73.0,55.0,92.0,1
20170710022.0,,,,2
20170710023.0,,,,3
20170710024.0,,,,4
20170710031.0,74.0,55.0,92.0,1
20170710032.0,,,,2
20170710033.0,,,,3
20170710034.0,,,,4
20170710041.0,75.0,56.0,92.0,1
20170710042.0,,,,2
20170710043.0,,,,3
20170710044.0,,,,4
20170710051.0,75.0,58.0,93.0,1
20170710052.0,,,,2
20170710053.0,,,,3
20170710054.0,,,,4
20170710061.0,76.0,58.0,94.0,1
20170710062.0,,,,2
20170710063.0,,,,3
20170710064.0,,,,4
20170710071.0,77.0,59.0,95.0,1
20170710072.0,,,,2
20170710073.0,,,,3
20170710074.0,,,,4
20170710081.0,78.0,59.0,97.0,1
20170710082.0,,,,2
20170710083.0,,,,3
20170710084.0,,,,4
20170710091.0,78.0,59.0,95.0,1
20170710092.0,,,,2
20170710093.0,,,,3
20170710094.0,,,,4
20170710101.0,79.0,62.0,98.0,1
20170710102.0,,,,2
20170710103.0,,,,3
20170710104.0,,,,4
20170710111.0,80.0,61.0,98.0,1
20170710112.0,,,,2
20170710113.0,,,,3
20170710114.0,,,,4
20170710121.0,80.0,63.0,99.0,1
20170710122.0,,,,2
20170710123.0,,,,3
20170710124.0,,,,4
20170710131.0,81.0,64.0,98.0,1
20170710132.0,,,,2
20170710133.0,,,,3
20170710134.0,,,,4
20170710141.0,82.0,64.0,101.0,1
20170710142.0,,,,2
20170710143.0,,,,3
20170710144.0,,,,4
20170710151.0,82.0,62.0,101.0,1
20170710152.0,,,,2
20170710153.0,,,,3
20170710154.0,,,,4
20170710161.0,82.0,64.0,101.0,1
20170710162.0,,,,2
20170710163.0,,,,3
20170710164.0,,,,4
20170710171.0,83.0,66.0,101.0,1
20170710172.0,,,,2
20170710173.0,,,,3
20170710174.0,,,,4
20170710181.0,83.0,65.0,103.0,1
20170710182.0,,,,2
20170710183.0,,,,3
20170710184.0,,,,4
20170710191.0,84.0,66.0,103.0,1
20170710192.0,,,,2
20170710193.0,,,,3
20170710194.0,,,,4
20170710201.0,84.0,65.0,102.0,1
20170710202.0,,,,2
20170710203.0,,,,3
20170710204.0,,,,4
20170710211.0,84.0,66.0,102.0,1
20170710212.0,,,,2
20170710213.0,,,,3
20170710214.0,,,,4
20170710221.0,84.0,67.0,104.0,1
20170710222.0,,,,2
20170710223.0,,,,3
20170710224.0,,,,4
20170710231.0,84.0,67.0,104.0,1
20170710232.0,,,,2
20170710233.0,,,,3
20170710234.0,,,,4
20170711001.0,84.0,65.0,103.0,1
20170711002.0,,,,2
20170711003.0,,,,3
20170711004.0,,,,4
20170711011.0,85.0,66.0,104.0,1
20170711012.0,,,,2
20170711013.0,,,,3
20170711014.0,,,,4
20170711021.0,85.0,65.0,104.0,1
20170711022.0,,,,2
20170711023.0,,,,3
20170711024.0,,,,4
20170711031.0,85.0,66.0,102.0,1
20170711032.0,,,,2
20170711033.0,,,,3
20170711034.0,,,,4
20170711041.0,85.0,66.0,104.0,1
20170711042.0,,,,2
